Up Shoot,Down Shoot,Up Root,Down Root,Up Shoot|Up Root,Up Shoot|Down Root,Down Shoot|Up Root,Down Shoot|Down Root
AT3G47770.1,AT2G31880.1,AT2G09865.1,AT1G03230.1,AT3G14490.1,AT1G32840.1,AT5G45950.1,AT3G14620.1
AT3G14820.1,AT1G01060.4,AT3G41768.1,AT1G80530.1,AT1G07550.1,AT5G17320.1,AT5G63180.1,AT1G11330.2
AT3G14530.1,AT1G01060.1,AT5G50790.1,AT4G20270.1,AT5G42600.1,AT5G52140.1,AT3G04210.1,AT2G05380.2
AT1G16980.1,ATMG01120.1,AT2G09840.1,AT1G12140.1,AT1G34390.1,AT3G60950.1,AT1G59590.1,AT1G11330.1
AT1G17000.1,AT4G34200.1,AT5G64770.1,AT3G02870.2,AT1G45015.1,AT4G21440.1,AT1G61360.1,AT2G05380.1
AT3G03620.1,AT2G07709.1,AT3G41979.1,AT3G02870.3,AT4G35670.1,AT1G54890.1,AT1G52200.1,AT1G75280.1
AT5G27140.1,AT1G01060.3,AT3G43350.1,AT3G02870.1,AT1G23160.1,AT5G28510.1,AT3G27690.1,AT3G17790.1
AT3G09340.1,AT4G19880.2,AT2G09900.1,AT1G77520.1,AT2G29240.1,AT2G16960.1,AT3G53720.1,AT4G00050.1
AT5G09560.1,AT1G15670.1,AT5G50700.1,AT1G68840.2,AT1G25270.1,AT2G16960.2,AT5G54140.1,AT2G43820.1
AT4G22100.1,AT5G67420.1,AT3G43460.1,AT1G74458.1,AT5G10130.1,AT3G55970.1,AT1G07620.1,AT5G20400.1
AT2G46960.2,AT5G37600.1,AT4G23200.1,AT2G41370.1,AT3G01516.1,AT2G15780.1,ATMG00830.1,AT1G02850.4
AT2G03250.1,AT3G44720.1,AT3G43530.1,AT2G02390.2,AT3G32260.1,AT2G38240.1,AT3G46490.1,AT1G02850.5
AT4G19320.1,AT3G54640.1,AT2G01010.1,AT1G12140.2,AT3G32280.1,AT4G37990.1,AT5G16570.1,AT1G02850.2
AT2G46960.1,AT3G17609.2,AT5G53510.1,AT4G13235.1,AT1G19900.1,AT1G51810.1,AT1G51790.1,AT1G02850.3
AT5G03810.1,AT3G22060.1,AT3G43570.1,AT1G75388.1,AT1G52070.1,AT5G09210.1,ATMG00810.1,AT1G02850.1
AT5G03820.1,AT1G03400.1,AT5G28030.1,AT1G75390.1,AT5G51870.1,AT1G43160.1,AT3G50480.1,AT2G30140.1
AT3G26260.1,AT3G16370.1,AT5G28030.2,AT1G68840.1,AT5G51870.3,AT2G02990.1,AT1G65970.1,AT2G30140.2
AT1G42680.1,ATMG00560.1,AT4G08880.1,AT2G29440.1,ATMG00100.1,AT1G52890.1,AT3G45410.1,AT5G26920.2
AT5G39930.1,AT2G07808.1,AT3G43550.1,AT3G54950.1,AT2G33790.1,AT1G80160.1,AT3G41761.1,AT5G26920.1
AT5G26810.1,AT1G34750.1,AT1G57690.1,AT4G02390.1,AT3G44870.1,AT1G80160.2,AT1G70690.1,AT1G69530.1
AT4G11040.1,AT2G25000.1,AT2G09910.1,AT1G75390.2,AT5G46900.1,AT2G22860.1,AT2G41380.1,AT1G69530.2
AT1G05280.1,AT2G19130.1,AT5G53790.1,AT1G52140.1,AT1G20750.1,AT2G47550.1,AT2G41090.1,AT1G69530.3
AT3G07920.1,AT1G21270.1,AT3G47260.1,AT3G25130.1,AT3G20940.1,AT3G15370.1,AT1G31580.1,AT1G69530.4
AT1G63410.1,ATMG00660.1,AT2G09850.1,AT2G40900.1,ATMG00170.1,AT5G01380.1,AT3G49780.1,AT1G69530.5
AT1G03720.1,AT2G36800.1,AT2G10000.1,AT3G59765.1,ATMG00190.1,AT2G41800.1,ATMG00580.1,AT3G23560.1
AT5G39910.1,AT5G52540.1,AT3G46470.1,AT5G45280.2,ATMG00210.1,AT3G44860.1,AT1G61560.3,AT4G25100.2
AT5G59810.1,AT4G04220.1,AT3G43680.1,AT5G45280.1,AT4G22230.1,AT1G19550.1,AT1G61560.2,AT4G25100.3
AT4G03690.1,AT5G48540.1,AT3G43490.1,AT2G37460.1,AT4G22230.2,AT4G35770.1,AT5G47550.1,AT4G25100.5
AT5G28110.1,AT1G11545.1,AT2G09838.1,AT5G66170.1,AT4G21340.1,AT4G35770.3,AT1G61560.1,AT4G25100.1
AT2G22201.1,AT1G64670.1,AT2G09860.1,AT5G66170.3,AT1G30550.2,AT5G59320.1,AT1G61560.4,AT5G39050.1
AT4G19260.1,AT3G23530.1,AT2G09862.1,AT5G66170.2,AT5G26320.1,AT3G15170.1,AT1G02340.1,AT3G57460.1
AT4G19330.1,AT1G58280.3,AT2G09890.1,AT3G48610.1,AT5G05040.1,AT4G35770.2,AT5G53200.1,AT4G25100.4
AT1G07690.1,AT5G17300.1,AT2G09930.1,AT5G58620.1,ATCG01180.1,AT3G49620.1,AT2G01890.1,AT4G01700.1
AT1G24485.2,AT4G34560.1,AT2G09950.1,AT1G07640.2,AT2G22760.1,AT1G09500.3,AT2G25510.2,AT1G21520.1
AT1G24485.3,AT1G58280.2,AT2G09953.1,AT3G59080.2,AT1G66270.1,AT4G16590.1,AT2G25510.1,AT5G26340.1
AT1G25145.1,AT4G09460.1,AT2G09956.1,AT1G22885.2,AT1G66270.2,AT4G28140.1,AT4G11890.2,AT3G21250.1
AT1G32430.1,AT5G03610.1,AT2G09960.1,AT1G19330.2,AT5G47450.1,AT3G47340.1,AT4G11890.4,AT1G75270.1
AT3G15960.1,AT4G14440.1,AT2G07880.1,AT1G07640.3,AT4G15393.3,AT3G47340.3,AT4G11890.1,AT4G16370.1
AT1G75790.1,AT1G73870.1,AT2G09790.1,AT1G19330.3,AT4G15393.1,AT3G47340.2,AT3G55150.1,AT1G76690.1
AT5G09360.1,AT4G33050.4,AT2G09810.1,AT1G19330.1,AT4G15393.2,AT1G70130.1,AT4G11890.3,AT3G26220.1
AT3G14520.1,AT5G46240.1,AT2G09820.1,AT2G42840.1,AT5G05050.1,AT1G69880.1,AT2G01890.2,AT3G08870.1
AT2G29000.1,AT1G29660.1,AT2G09830.1,AT5G06300.1,AT5G46890.1,AT1G21550.1,AT3G07195.1,AT2G38530.1
AT5G09550.1,AT1G58280.1,AT2G23480.1,AT5G64250.1,AT5G24140.1,AT5G13380.1,ATMG00960.1,AT4G22530.1
AT5G22410.1,AT4G33050.1,AT5G50520.1,AT5G10340.1,ATCG00950.1,AT1G58936.1,AT1G78000.1,AT3G05690.1
AT5G27160.1,AT4G23130.1,AT4G13700.1,AT1G03620.1,AT4G12550.1,AT4G35720.1,AT1G78000.2,AT1G65500.1
AT1G54940.1,AT5G53550.1,AT1G28500.1,AT4G29930.4,AT4G15340.1,AT4G28040.1,ATMG00730.1,AT1G68740.1
AT1G20740.1,AT4G23130.2,AT2G01020.1,AT1G62170.2,AT5G53250.1,AT1G69480.1,AT5G55170.1,AT4G36570.1
AT1G33090.1,AT4G33050.3,AT2G29605.1,AT5G02460.1,AT4G17470.1,AT1G59077.1,AT4G20820.1,AT2G32960.1
AT5G39770.1,AT5G18780.1,AT1G28300.1,AT4G29930.2,AT4G17470.2,AT5G07010.1,AT1G78980.1,AT4G21120.1
AT1G78355.1,AT5G15860.2,AT3G47270.1,AT4G25960.1,AT4G17470.3,AT4G08040.1,ATMG00620.1,AT2G29990.1
AT1G78350.1,AT1G14790.1,AT2G05660.1,AT5G42980.1,AT4G21830.2,AT3G20520.1,AT5G62210.1,AT1G67800.1
AT5G19720.1,AT5G53550.2,AT5G53780.1,AT4G37432.1,ATMG00230.1,AT3G43270.1,ATMG00610.1,AT4G21990.2
AT4G22110.1,AT4G33050.2,AT3G43760.1,AT1G69850.1,AT4G21830.1,AT4G18170.1,ATMG00665.1,AT4G21990.1
AT2G15520.1,AT5G61250.2,AT3G43470.1,AT1G71880.1,ATMG00250.1,AT2G29500.1,ATMG00600.1,AT1G67800.2
AT4G22110.2,AT1G07180.1,AT3G43682.1,AT3G22800.1,ATMG00270.1,AT3G60140.1,AT1G73810.1,AT1G76680.2
AT1G75530.1,AT5G15860.1,AT5G07210.1,AT3G26840.1,ATMG00220.1,AT1G47510.1,AT5G42530.1,AT1G76680.1
AT2G10250.1,AT5G63130.1,AT1G19090.1,AT4G29930.1,AT1G57590.1,AT5G50800.1,AT2G44380.1,AT1G67800.3
AT3G45520.1,AT1G75040.1,AT2G34430.1,AT4G11600.1,AT3G45700.1,AT1G43800.1,AT1G03850.1,AT1G67800.4
AT1G10585.1,AT1G55960.1,AT5G20630.1,AT5G52870.1,AT5G20470.1,AT1G01470.1,AT3G23510.1,AT3G59140.1
AT4G01820.1,AT5G47050.1,AT5G05030.1,AT1G07640.1,AT1G52040.1,AT4G24110.1,AT5G59520.1,AT1G60730.1
AT3G32030.1,AT4G11290.1,AT3G22500.1,AT2G16430.1,AT2G33880.1,AT4G33070.1,AT5G59680.1,AT1G60730.2
AT1G50735.1,AT4G26270.1,AT3G58250.1,AT1G10480.1,ATMG00240.1,AT1G61120.1,AT1G03850.2,AT3G54420.1
AT2G19802.1,AT5G66320.2,AT3G45810.1,AT1G67850.2,AT2G28190.1,AT4G22590.1,AT1G73780.1,AT5G50200.1
AT3G04320.1,AT5G14730.1,AT5G33405.1,AT2G16430.2,AT4G23600.2,AT4G22592.1,AT5G08240.1,AT5G50200.2
AT2G35070.1,AT1G05000.1,AT5G07930.3,AT5G19550.1,AT4G15390.1,AT1G15040.1,ATMG00970.1,AT5G50200.3
AT1G78360.1,AT1G76970.1,AT3G09170.1,AT1G80820.1,AT4G23600.3,AT5G39580.2,AT3G48080.1,AT5G10140.3
AT5G12020.1,AT1G08450.3,AT1G56040.1,AT1G02310.1,AT4G23600.1,AT5G39580.1,AT4G14400.1,AT1G60730.3
AT5G63595.1,AT1G08450.1,AT3G58410.1,AT4G29930.3,AT4G21640.1,AT1G15040.2,AT4G14400.3,AT5G52570.2
AT2G07140.1,AT4G19660.1,AT1G26310.1,AT1G64390.1,AT1G30135.1,AT5G52310.1,AT4G14400.2,AT2G16060.1
AT3G26610.1,AT1G05000.2,AT1G45832.1,AT4G17760.2,AT3G43850.1,AT1G21400.1,AT5G63600.1,AT1G24575.1
ATCG01160.1,AT3G25610.1,AT3G31900.1,AT3G20340.1,AT5G38200.1,AT5G13330.1,AT5G63600.2,AT5G06510.3
ATCG01170.1,AT3G21240.1,AT2G23710.1,AT2G16385.1,AT5G45840.1,AT1G71140.1,AT3G22240.1,AT5G52570.1
ATCG01150.1,AT3G21250.2,AT1G21020.1,AT5G64250.2,ATMG00260.1,AT2G47180.1,ATMG00710.1,AT3G28740.1
ATCG01140.1,AT3G07010.1,AT4G08945.1,AT3G04220.1,AT5G06870.1,AT5G67480.1,AT4G20110.1,AT1G62580.1
AT2G39030.1,AT1G21260.1,AT4G15735.1,AT3G14440.1,AT5G45840.2,AT5G67480.2,AT4G20110.2,AT4G15760.2
AT2G07140.2,AT2G22770.1,AT5G18430.1,AT4G28040.3,AT5G26260.1,AT5G58670.1,ATMG01160.1,AT5G06510.1
AT5G14180.1,AT1G14430.1,AT3G13662.1,AT3G60930.1,AT3G28220.1,AT4G19200.1,ATMG01260.1,AT4G15760.1
AT3G59220.1,AT5G66320.1,AT3G43505.1,AT1G22065.1,AT5G56795.1,AT1G54100.2,ATMG01210.1,AT5G06510.2
ATCG01190.1,AT4G36150.1,AT1G29570.1,AT4G28040.2,AT2G19800.1,AT1G54100.1,ATMG00990.1,AT3G47540.1
ATCG01200.1,AT1G08450.2,AT3G43770.1,AT4G28040.5,AT5G50950.3,,AT4G39650.1,AT2G32990.1
AT3G48520.1,AT2G37040.1,AT5G07260.1,AT1G65150.1,AT5G50950.1,,AT5G62480.2,AT2G44290.1
AT3G43250.1,AT3G47640.1,AT5G07260.2,AT1G67850.1,AT5G50950.2,,AT1G51860.1,AT4G23220.1
AT2G19803.1,AT1G24145.1,AT3G43635.1,AT3G25560.1,AT1G45616.1,,AT5G62480.1,AT4G26120.1
AT1G71000.1,AT5G03360.1,AT3G43688.1,AT3G25560.2,AT1G66100.1,,ATMG01020.1,AT5G24660.1
AT1G12040.1,AT5G25930.1,AT5G53690.1,AT3G25560.3,AT5G21960.1,,AT2G34940.1,AT2G24180.1
AT5G27910.1,AT2G47800.1,AT2G29610.1,AT3G53540.1,AT3G29410.1,,AT3G51330.1,AT1G56150.1
AT4G05475.1,AT5G03360.2,AT3G31402.1,AT1G65150.2,AT4G03060.1,,AT2G28960.1,AT3G47540.2
AT5G12030.1,AT3G20370.1,AT3G31402.2,AT1G72800.1,AT1G08430.1,,AT5G53110.1,AT4G14365.1
AT4G18980.1,AT5G58940.1,AT3G31410.1,AT5G51050.1,AT4G36670.1,,ATMG00720.1,AT1G56430.1
ATCG00970.1,AT5G54850.1,AT5G46820.1,AT4G17760.1,AT5G23830.1,,AT1G77980.1,AT3G47480.1
ATCG00990.1,AT5G20960.1,AT5G53390.1,AT4G28040.4,AT5G23830.2,,ATMG01050.1,AT3G47780.1
ATCG00980.1,AT5G20960.2,AT5G26000.1,AT1G22885.1,AT5G43780.1,,AT1G14880.1,AT5G63790.1
AT2G41445.1,AT5G66910.1,AT5G26000.2,AT1G05340.1,AT1G22500.1,,ATMG00680.1,AT5G37990.1
AT3G15240.2,AT3G47640.2,AT4G38820.1,AT4G34600.1,AT5G01320.1,,AT4G00700.1,AT4G17030.1
ATCG00960.1,AT3G47640.3,AT4G38825.1,AT2G35150.1,AT4G30170.1,,ATMG01110.1,AT2G30540.1
AT5G59090.1,AT3G51440.1,AT1G77100.1,AT5G18690.1,AT4G16563.1,,ATMG00980.1,AT1G32940.1
AT5G59090.3,AT1G32780.1,AT3G43360.1,AT5G39785.2,AT1G16410.1,,ATMG01030.1,AT5G40780.1
AT5G59090.2,AT1G64780.1,AT3G43410.1,AT1G78476.1,AT4G08870.1,,AT4G37010.2,AT5G40780.2
AT5G15265.1,AT3G12710.1,AT3G43833.1,AT5G39785.1,AT1G51270.3,,AT4G37010.1,AT1G77870.1
AT5G24780.1,AT1G10340.1,AT1G56030.1,AT5G47910.1,AT1G51270.1,,ATMG01240.1,AT2G31865.2
AT5G24780.2,AT1G61820.1,AT1G33820.1,AT1G31770.1,AT4G14130.1,,AT3G09220.1,AT4G37520.2
AT1G66280.1,AT2G44790.1,AT1G55546.1,AT3G58550.1,AT4G08870.2,,AT3G13950.1,AT4G37520.1
AT5G50565.2,AT3G50140.1,AT5G07930.1,AT4G27830.1,AT1G51270.2,,AT3G09960.1,AT2G31865.1
ATCG01030.1,AT1G64500.1,AT2G09388.1,AT1G18570.1,AT1G11740.1,,AT5G65980.1,AT1G24580.1
AT3G19550.1,AT1G10340.2,AT3G49280.1,AT1G55175.1,AT2G43530.1,,AT3G47040.2,AT5G26220.1
AT4G33467.2,AT1G61820.3,AT1G33860.2,AT3G15340.1,AT3G55230.1,,ATMG01000.1,AT2G18193.1
AT4G33467.1,AT5G24390.1,AT3G28300.1,AT2G39800.4,AT3G45140.1,,ATMG01180.1,AT3G56240.1
AT4G15210.2,AT1G66880.1,AT4G04310.1,AT4G04810.1,AT1G51270.4,,ATMG00860.1,AT1G08050.1
AT5G19110.1,AT5G25820.1,AT2G39855.1,AT2G39800.3,AT5G51720.1,,ATMG01100.1,AT2G04040.1
AT4G15210.1,AT2G37710.1,AT2G39855.2,AT1G13920.1,AT1G54040.1,,AT5G54045.1,AT4G39830.1
AT4G12520.1,AT5G07000.1,AT2G29790.1,AT5G62680.1,AT5G02170.1,,AT5G54150.1,AT2G18690.2
AT1G23720.1,AT3G02380.1,AT4G09930.1,AT1G08290.1,AT3G57520.1,,AT2G14610.1,AT2G18690.1
AT1G66950.1,AT5G49680.2,AT5G34855.1,AT5G43380.1,AT3G57520.3,,ATMG01230.1,AT4G35640.1
AT3G42715.1,AT5G23730.1,AT3G31310.1,AT5G24280.1,AT3G57520.2,,AT4G23390.1,AT4G19810.1
AT5G50565.1,AT2G32690.1,AT3G09510.1,AT1G68690.1,AT1G75750.1,,AT3G13432.1,AT1G77450.1
AT5G45200.1,AT2G32690.4,AT2G23660.2,AT2G15480.1,AT1G75750.2,,AT5G41310.1,AT3G09010.1
AT2G33380.2,AT2G32690.3,AT2G23660.1,AT5G17850.1,AT5G47240.1,,AT1G51260.1,AT5G14545.1
AT1G19610.1,AT3G04700.1,AT1G80140.1,AT2G43800.1,AT5G55050.1,,AT4G13420.1,AT3G01990.1
AT4G22470.1,AT2G32690.2,AT2G05370.2,AT4G05049.1,AT5G07100.1,,ATMG01040.1,AT5G20150.1
AT3G25180.2,AT3G18830.1,AT2G29290.1,AT1G30040.1,AT1G62660.1,,AT2G45220.1,AT2G26560.1
AT4G24340.1,AT1G17600.1,AT2G29290.2,AT3G62930.1,AT2G05090.1,,ATMG01010.1,AT3G05630.1
ATCG00250.1,AT1G61420.1,AT4G28780.1,AT3G61820.1,AT4G30270.1,,ATMG01140.1,AT1G18870.1
ATCG00060.1,AT3G21150.1,AT2G10940.1,AT2G37240.1,AT2G05080.1,,ATMG01150.1,AT1G02220.1
AT3G25180.1,AT1G05135.1,AT3G43330.1,AT1G01010.1,AT2G05082.1,,AT1G61950.1,AT5G25250.1
AT3G28550.1,AT3G56360.1,AT2G10940.2,AT3G62280.1,AT2G05084.1,,ATMG01060.1,AT3G22235.2
AT4G30280.1,AT4G26070.2,AT5G25980.1,AT5G49350.2,AT2G05087.1,,ATMG01070.1,AT1G18870.2
AT2G33380.1,AT4G26070.3,AT5G25980.2,AT1G36370.1,AT5G07100.2,,ATMG00920.1,AT2G02930.1
AT4G02170.1,AT3G02840.1,AT5G25980.3,AT4G17695.1,AT5G42900.1,,ATMG00930.1,AT3G22235.1
AT5G26290.1,AT3G11840.1,AT3G01500.3,AT1G73480.1,AT5G36910.1,,ATMG00910.1,AT1G01560.1
AT4G22810.1,AT3G03440.1,AT3G01500.1,AT4G38530.1,AT5G42900.2,,ATMG00940.1,AT1G12200.1
AT3G59930.1,AT4G34138.1,AT3G01500.2,AT2G47680.1,AT5G42900.3,,ATMG00950.1,AT1G01560.2
AT5G28773.1,AT3G50350.1,AT4G13410.1,AT5G61010.2,AT1G31173.1,,ATMG00790.1,AT4G28490.1
AT1G73325.1,AT3G25020.1,AT1G23130.1,AT2G31200.1,AT1G70850.1,,ATMG00800.1,AT3G11402.1
AT2G39330.1,AT5G64780.1,AT2G37010.1,AT5G49350.1,AT1G70850.2,,ATMG00880.1,AT1G08090.1
AT4G26260.1,AT1G16260.1,AT3G05730.1,AT2G39800.2,AT4G12320.1,,ATMG00890.1,AT3G02040.1
AT4G26260.2,AT1G16260.2,AT3G43684.1,AT3G62455.1,AT5G42800.1,,ATMG00900.1,AT3G14990.2
AT5G24770.1,AT5G52810.1,AT3G14210.1,AT5G61010.1,AT3G25770.1,,ATMG00740.1,AT1G21120.1
AT1G63570.1,AT4G16780.1,AT5G56330.1,AT4G13510.1,AT1G69526.2,,ATMG00820.1,AT4G02280.1
AT3G18550.1,AT3G16030.1,AT2G24210.1,AT1G48100.1,AT5G20260.1,,ATMG00840.1,AT3G20470.1
AT5G47330.1,AT5G40690.1,AT2G45190.1,AT2G40130.2,AT4G17340.1,,ATMG00870.1,AT3G14990.1
AT5G24770.2,AT3G11000.2,AT5G38420.1,AT2G40130.1,AT1G75440.1,,ATMG00850.1,AT3G14990.3
ATCG00230.1,AT5G02440.1,AT2G09187.1,AT4G01440.1,AT4G08950.1,,ATMG00780.1,AT1G74360.1
AT3G24240.1,AT2G31750.1,AT3G09380.1,AT2G16630.1,AT5G66053.1,,ATMG00700.1,AT1G58983.1
AT2G14160.1,AT4G26070.1,AT1G33811.1,AT3G28920.1,AT2G38400.1,,ATMG00750.1,AT4G26050.1
AT5G05600.1,AT2G15390.1,AT5G60970.1,AT5G65870.1,AT5G27920.1,,ATMG00760.1,AT2G25330.1
AT4G22212.1,AT1G23020.2,AT5G53380.1,AT3G15300.1,AT4G36850.1,,ATMG00770.1,AT4G21380.1
AT3G18550.2,AT1G74710.2,AT3G13630.1,AT2G39800.1,AT5G02940.1,,AT1G51470.1,AT5G60950.1
AT1G75250.1,AT1G23020.1,AT3G16670.1,AT4G04610.1,AT2G38400.2,,AT4G37950.1,AT5G57220.1
AT5G27010.1,AT4G08470.1,AT3G24140.1,AT1G77700.1,,,AT5G54000.1,AT1G02930.2
AT2G25980.1,AT3G06020.1,AT2G09880.1,AT5G40960.1,,,AT2G08986.1,AT2G04070.1
AT3G54590.1,AT3G26500.1,AT2G09920.1,AT4G21580.1,,,AT1G62940.1,AT1G02930.1
AT1G61810.2,AT5G24206.1,AT1G47370.1,AT1G02952.1,,,AT2G22750.2,AT1G74590.1
AT2G23673.1,AT4G15610.1,AT1G01073.1,AT4G13505.1,,,AT1G58260.1,AT3G52748.1
AT1G14250.1,AT4G32890.1,AT2G27385.3,AT5G37180.1,,,AT5G53960.1,AT1G21250.1
AT5G17820.1,AT5G06530.2,AT2G27385.1,AT1G01070.1,,,AT2G07981.1,AT4G29020.1
ATCG00940.1,AT1G74710.1,AT2G27385.2,AT4G21580.2,,,,AT5G01900.1
AT4G22950.1,AT5G09800.1,AT5G17950.1,AT4G21580.3,,,,AT4G05020.1
AT3G15720.2,AT3G13790.1,AT4G15710.1,AT5G62630.1,,,,AT3G56710.1
AT3G15720.1,AT4G02420.1,AT4G26030.1,AT1G01070.2,,,,AT4G05020.2
AT4G20970.1,AT3G13790.2,AT5G65730.1,AT5G25450.1,,,,AT4G34135.1
AT1G20070.1,AT4G23610.1,AT5G53910.1,AT2G03760.1,,,,AT4G14368.1
