"CAX22ROOTFL-CAX22ROOTGCUP, 127 genes","CAX22ROOTFL-CAX22ROOTGCDown, 0 genes","CAX22ROOTFL-COL00ROOTFLUP, 232 genes","CAX22ROOTFL-COL00ROOTFLDown, 271 genes","CAX22ROOTGC-COL00ROOTGCUP, 10 genes","CAX22ROOTGC-COL00ROOTGCDown, 110 genes","CAX22SHOOTFL-CAX22SHOOTGCUP, 3 genes","CAX22SHOOTFL-CAX22SHOOTGCDown, 5 genes","CAX22SHOOTFL-COL00SHOOTFLUP, 127 genes","CAX22SHOOTFL-COL00SHOOTFLDown, 586 genes","CAX22SHOOTGC-COL00SHOOTGCUP, 55 genes","CAX22SHOOTGC-COL00SHOOTGCDown, 127 genes","COL00ROOTFL-COL00ROOTGCUP, 203 genes","COL00ROOTFL-COL00ROOTGCDown, 92 genes","COL00SHOOTFL-COL00SHOOTGCUP, 304 genes","COL00SHOOTFL-COL00SHOOTGCDown, 34 genes"
AT1G01140,,AT1G03130,AT1G01560,AT1G24270,AT1G04110,AT1G04800,AT1G17300,AT1G01190,AT1G01130,AT1G13635,AT1G01130,AT1G01580,AT1G07550,AT1G02220,AT1G02620
AT1G07180,,AT1G05135,AT1G01580,AT1G29810,AT1G04920,AT3G01260,AT2G39518,AT1G04800,AT1G01480,AT1G17170,AT1G08315,AT1G01680,AT1G08430,AT1G02360,AT1G08430
AT1G14150,,AT1G06360,AT1G01680,AT2G01422,AT1G09930,AT4G29020,AT3G46690,AT1G08430,AT1G01560,AT1G21310,AT1G11740,AT1G02230,AT1G16910,AT1G02450,AT1G19540
AT1G14880,,AT1G07050,AT1G02450,AT2G44590,AT1G11590,,AT3G59220,AT1G12040,AT1G01680,AT1G26290,AT1G18200,AT1G02450,AT1G19390,AT1G02520,AT1G20070
AT1G16410,,AT1G07180,AT1G02850,AT3G26125,AT1G11990,,AT4G13420,AT1G14240,AT1G02220,AT1G29810,AT1G19020,AT1G02850,AT1G22380,AT1G05700,AT1G21550
AT1G19150,,AT1G07550,AT1G04445,AT3G28899,AT1G12610,,,AT1G15380,AT1G02360,AT1G30700,AT1G19190,AT1G02930,AT1G30260,AT1G05880,AT1G22490
AT1G19960,,AT1G08430,AT1G05650,AT3G30720,AT1G16230,,,AT1G18140,AT1G02390,AT1G49860,AT1G20823,AT1G05650,AT1G33100,AT1G08090,AT1G30860
AT1G21130,,AT1G13650,AT1G05880,AT5G18910,AT1G17420,,,AT1G19540,AT1G02400,AT1G54890,AT1G25400,AT1G05880,AT1G44030,AT1G08310,AT1G34100
AT1G21250,,AT1G14150,AT1G08090,AT5G24915,AT1G19020,,,AT1G20080,AT1G02450,AT1G65690,AT1G27720,AT1G08090,AT1G45015,AT1G08320,AT1G44830
AT1G22690,,AT1G14880,AT1G08165,AT5G28335,AT1G19210,,,AT1G22490,AT1G02520,AT1G66700,AT1G27730,AT1G08165,AT1G45020,AT1G11120,AT1G57590
AT1G24148,,AT1G15980,AT1G09930,,AT1G20120,,,AT1G23120,AT1G03390,AT1G73260,AT1G28370,AT1G12030,AT1G51830,AT1G13480,AT1G62440
AT1G29660,,AT1G16410,AT1G11070,,AT1G20390,,,AT1G26450,AT1G03700,AT2G01422,AT1G30370,AT1G17180,AT1G51840,AT1G13520,AT1G67265
AT1G29910,,AT1G18730,AT1G12610,,AT1G21326,,,AT1G29270,AT1G03850,AT2G29460,AT1G33760,AT1G18970,AT1G51870,AT1G13530,AT1G73325
AT1G29920,,AT1G19150,AT1G13310,,AT1G27565,,,AT1G29810,AT1G04445,AT2G29490,AT1G33770,AT1G19960,AT1G52060,AT1G13609,AT1G77640
AT1G31580,,AT1G19390,AT1G13550,,AT1G29680,,,AT1G45616,AT1G04778,AT2G30750,AT1G35140,AT1G21120,AT1G52070,AT1G13750,AT2G22860
AT1G32080,,AT1G20020,AT1G14490,,AT1G43590,,,AT1G47370,AT1G05575,AT2G37070,AT1G42980,AT1G21130,AT1G53990,AT1G14540,AT2G24610
AT1G33811,,AT1G21500,AT1G14540,,AT1G48405,,,AT1G49860,AT1G05675,AT2G43570,AT1G43590,AT1G21240,AT1G62510,AT1G14550,AT2G32290
AT1G45010,,AT1G22590,AT1G14550,,AT1G49250,,,AT1G52040,AT1G05700,AT2G44480,AT1G56150,AT1G21320,AT1G65390,AT1G14870,AT2G47270
AT1G49570,,AT1G22630,AT1G15010,,AT1G56060,,,AT1G54940,AT1G05880,AT2G44590,AT1G56660,AT1G22150,AT1G68190,AT1G15520,AT3G02410
AT1G54820,,AT1G22690,AT1G16380,,AT1G61097,,,AT1G61590,AT1G06800,AT2G45220,AT1G60190,AT1G23730,AT1G73300,AT1G16150,AT3G19040
AT1G54970,,AT1G24148,AT1G17420,,AT1G65940,,,AT1G62440,AT1G07000,AT3G09080,AT1G61470,AT1G26240,AT1G76620,AT1G17020,AT3G19390
AT1G56520,,AT1G26761,AT1G18970,,AT1G66160,,,AT1G67370,AT1G07400,AT3G09270,AT1G64500,AT1G26250,AT1G78460,AT1G17170,AT3G28770
AT1G58561,,AT1G27480,AT1G19210,,AT1G67875,,,AT1G68230,AT1G08050,AT3G11340,AT1G66090,AT1G26380,AT1G80240,AT1G18860,AT3G43850
AT1G58602,,AT1G29810,AT1G20120,,AT1G69523,,,AT1G71770,AT1G08090,AT3G13170,AT1G66160,AT1G26390,AT2G02450,AT1G18870,AT3G44870
AT1G62630,,AT1G29910,AT1G20390,,AT1G70130,,,AT1G73325,AT1G08310,AT3G13610,AT1G66170,AT1G26410,AT2G13910,AT1G18970,AT3G61900
AT1G66100,,AT1G29920,AT1G21120,,AT1G71866,,,AT1G77520,AT1G08320,AT3G22240,AT1G66500,AT1G26420,AT2G14210,AT1G18980,AT4G16563
AT1G68520,,AT1G31173,AT1G21140,,AT1G72520,,,AT1G80160,AT1G08940,AT3G26830,AT1G67105,AT1G29290,AT2G16380,AT1G19250,AT4G25810
AT1G68530,,AT1G31690,AT1G23500,,AT1G73805,,,AT2G01422,AT1G09157,AT3G28880,AT1G69900,AT1G29740,AT2G22630,AT1G21240,AT5G07450
AT1G68600,,AT1G32080,AT1G26240,,AT1G74820,,,AT2G13550,AT1G09932,AT3G28899,AT1G72530,AT1G33030,AT2G22980,AT1G21310,AT5G07700
AT1G69730,,AT1G32540,AT1G26390,,AT1G74830,,,AT2G15440,AT1G09950,AT3G30720,AT1G73870,AT1G35310,AT2G23010,AT1G23730,AT5G14180
AT1G71140,,AT1G33100,AT1G26420,,AT1G74930,,,AT2G18180,AT1G10340,AT3G44300,AT1G77640,AT1G44130,AT2G28270,AT1G26240,AT5G14230
AT1G72930,,AT1G33320,AT1G27565,,AT1G76600,,,AT2G18196,AT1G10560,AT3G44570,AT1G80180,AT1G48000,AT2G28860,AT1G26250,AT5G15500
AT1G73830,,AT1G43040,AT1G28370,,AT1G76640,,,AT2G19970,AT1G12610,AT3G46690,AT2G01180,AT1G48800,AT2G29010,AT1G26380,AT5G42900
AT1G77210,,AT1G44030,AT1G29290,,AT1G78160,,,AT2G21770,AT1G13200,AT3G50280,AT2G04795,AT1G49570,AT2G31083,AT1G26390,AT5G47330
AT2G03310,,AT1G45010,AT1G29600,,AT1G79860,,,AT2G22460,AT1G13340,AT3G59220,AT2G05995,AT1G51420,AT2G31085,AT1G26400,
AT2G03750,,AT1G45191,AT1G29680,,AT1G80590,,,AT2G22930,AT1G13470,AT3G60490,AT2G06002,AT1G52343,AT2G32530,AT1G26410,
AT2G03980,,AT1G45616,AT1G29870,,AT1G80840,,,AT2G24980,AT1G13480,AT4G03292,AT2G11300,AT1G54575,AT2G34350,AT1G26420,
AT2G05070,,AT1G49010,AT1G30730,,AT2G01026,,,AT2G33790,AT1G13520,AT4G13420,AT2G15060,AT1G56150,AT2G34960,AT1G29290,
AT2G05380,,AT1G49370,AT1G32375,,AT2G01029,,,AT2G36110,AT1G13530,AT4G14390,AT2G15810,AT1G56430,AT2G36110,AT1G30700,
AT2G05520,,AT1G49975,AT1G34440,,AT2G01034,,,AT2G36120,AT1G13550,AT4G15890,AT2G17880,AT1G56600,AT2G44340,AT1G30720,
AT2G14560,,AT1G51110,AT1G35210,,AT2G05720,,,AT2G40080,AT1G13609,AT4G21830,AT2G23690,AT1G58320,AT3G02620,AT1G30730,
AT2G25510,,AT1G51340,AT1G36620,,AT2G05995,,,AT2G41480,AT1G14540,AT4G23700,AT2G23808,AT1G60470,AT3G10870,AT1G30900,
AT2G26740,,AT1G51830,AT1G36622,,AT2G06002,,,AT2G44590,AT1G14550,AT4G25540,AT2G24600,AT1G60750,AT3G13840,AT1G32350,
AT2G29290,,AT1G51840,AT1G43590,,AT2G07070,,,AT2G47270,AT1G14870,AT4G34510,AT2G24610,AT1G61130,AT3G13950,AT1G32940,
AT2G32540,,AT1G51870,AT1G44130,,AT2G11320,,,AT2G47360,AT1G15010,AT5G07010,AT2G27080,AT1G62290,AT3G16530,AT1G35230,
AT2G32690,,AT1G52060,AT1G45140,,AT2G12360,,,AT3G02410,AT1G15520,AT5G11330,AT2G30020,AT1G63560,AT3G19430,AT1G44130,
AT2G32870,,AT1G52070,AT1G48625,,AT2G12370,,,AT3G15440,AT1G15640,AT5G15130,AT2G32030,AT1G63750,AT3G25790,AT1G47395,
AT2G34430,,AT1G52230,AT1G53610,,AT2G12385,,,AT3G15620,AT1G16140,AT5G20640,AT2G32190,AT1G65481,AT3G28345,AT1G47400,
AT2G35830,,AT1G54040,AT1G53640,,AT2G12390,,,AT3G15720,AT1G16150,AT5G24090,AT2G32210,AT1G65485,AT3G29078,AT1G47840,
AT2G36800,,AT1G54820,AT1G55790,,AT2G25460,,,AT3G19390,AT1G17300,AT5G43040,AT2G35290,AT1G65500,AT3G29767,AT1G47890,
AT2G36970,,AT1G56520,AT1G56060,,AT2G25735,,,AT3G20810,AT1G17310,AT5G43580,AT2G35710,AT1G67270,AT3G29780,AT1G51890,
AT2G41090,,AT1G58561,AT1G57630,,AT2G26610,,,AT3G20940,AT1G17860,AT5G55050,AT2G35930,AT1G69920,AT3G30720,AT1G51913,
AT2G43010,,AT1G58602,AT1G58320,,AT2G28210,,,AT3G21600,AT1G18200,AT5G57480,AT2G38790,AT1G69930,AT3G44755,AT1G51920,
AT3G04210,,AT1G61270,AT1G60095,,AT2G32030,,,AT3G22570,AT1G18310,AT5G59510,AT2G39980,AT1G71140,AT3G46270,AT1G52530,
AT3G04290,,AT1G63360,AT1G61130,,AT2G37430,,,AT3G22740,AT1G18860,AT5G60730,AT2G41010,AT1G72900,AT3G46800,AT1G53625,
AT3G05370,,AT1G64680,AT1G63560,,AT2G37800,,,AT3G24210,AT1G18970,,AT2G44840,AT1G72930,AT3G47040,AT1G53990,
AT3G14420,,AT1G66100,AT1G63750,,AT2G44780,,,AT3G26610,AT1G19020,,AT3G01430,AT1G73220,AT3G48740,AT1G55790,
AT3G14620,,AT1G66940,AT1G64100,,AT2G44840,,,AT3G28899,AT1G19030,,AT3G04640,AT1G73830,AT3G59720,AT1G56120,
AT3G17110,,AT1G66980,AT1G65481,,AT2G47190,,,AT3G29630,AT1G19210,,AT3G07195,AT1G76800,AT4G10830,AT1G58410,
AT3G19850,,AT1G67865,AT1G65485,,AT3G02645,,,AT3G30720,AT1G19250,,AT3G11110,AT1G77210,AT4G14780,AT1G61800,
AT3G21790,,AT1G68190,AT1G65680,,AT3G03240,,,AT3G45700,AT1G19960,,AT3G12830,AT1G78340,AT4G18197,AT1G61820,
AT3G22235,,AT1G68520,AT1G65940,,AT3G03280,,,AT3G46880,AT1G20400,,AT3G14440,AT2G02930,AT4G18205,AT1G64940,
AT3G23450,,AT1G68600,AT1G66090,,AT3G07820,,,AT3G47200,AT1G20500,,AT3G15210,AT2G04040,AT4G37160,AT1G65481,
AT3G25760,,AT1G68780,AT1G67220,,AT3G13400,,,AT3G48900,AT1G20823,,AT3G16860,AT2G04070,AT4G37235,AT1G65690,
AT3G26180,,AT1G69730,AT1G67270,,AT3G17320,,,AT3G50300,AT1G21525,,AT3G19002,AT2G04460,AT4G37240,AT1G66600,
AT3G26200,,AT1G72645,AT1G67875,,AT3G18810,,,AT3G54590,AT1G22420,,AT3G19040,AT2G05380,AT4G40065,AT1G66960,
AT3G26280,,AT1G75460,AT1G70130,,AT3G19580,,,AT3G55515,AT1G22810,,AT3G19580,AT2G05510,AT4G40070,AT1G67270,
AT3G28220,,AT1G76110,AT1G72520,,AT3G22860,,,AT3G59370,AT1G23730,,AT3G21150,AT2G15490,AT5G02000,AT1G67330,
AT3G28270,,AT1G76620,AT1G73120,,AT3G23480,,,AT3G59930,AT1G24130,,AT3G27940,AT2G17040,AT5G07560,AT1G67520,
AT3G45140,,AT1G77210,AT1G73190,,AT3G27940,,,AT3G60170,AT1G24140,,AT3G42658,AT2G23960,AT5G07570,AT1G67810,
AT3G46370,,AT1G78460,AT1G73220,,AT3G28330,,,AT3G62680,AT1G26390,,AT3G43828,AT2G24000,AT5G07571,AT1G67980,
AT3G46780,,AT1G80240,AT1G73805,,AT3G29190,,,AT3G62740,AT1G26400,,AT3G44260,AT2G24720,AT5G08000,AT1G68150,
AT3G48200,,AT2G01422,AT1G74930,,AT3G33528,,,AT4G01080,AT1G26420,,AT3G46090,AT2G25440,AT5G17720,AT1G68450,
AT3G48720,,AT2G03710,AT1G75030,,AT3G41979,,,AT4G02290,AT1G27565,,AT3G50260,AT2G26400,AT5G20470,AT1G68620,
AT3G49260,,AT2G03750,AT1G76600,,AT3G42658,,,AT4G04223,AT1G27720,,AT3G50350,AT2G26560,AT5G22890,AT1G69720,
AT3G53280,,AT2G05070,AT1G76800,,AT3G62850,,,AT4G09430,AT1G28370,,AT3G52400,AT2G29220,AT5G23660,AT1G70170,
AT3G55240,,AT2G05350,AT1G78840,,AT4G01360,,,AT4G09432,AT1G29290,,AT3G55840,AT2G29250,AT5G23980,AT1G70440,
AT3G59060,,AT2G06890,AT1G80470,,AT4G11890,,,AT4G09990,AT1G30370,,AT3G56790,AT2G29350,AT5G27200,AT1G71390,
AT3G59250,,AT2G13360,AT1G80840,,AT4G14860,,,AT4G11210,AT1G30700,,AT4G05049,AT2G29460,AT5G38100,AT1G73010,
AT3G61550,,AT2G14560,AT2G01026,,AT4G16892,,,AT4G11320,AT1G30720,,AT4G08040,AT2G30140,AT5G39000,AT1G73260,
AT3G62550,,AT2G16380,AT2G01029,,AT4G17470,,,AT4G14103,AT1G30730,,AT4G08109,AT2G30540,AT5G42600,AT1G73780,
AT3G62950,,AT2G18300,AT2G01031,,AT4G24170,,,AT4G14140,AT1G32950,,AT4G08112,AT2G30660,AT5G45850,AT1G74080,
AT4G08620,,AT2G18328,AT2G01034,,AT4G25470,,,AT4G21830,AT1G32970,,AT4G14370,AT2G30670,AT5G47550,AT1G74190,
AT4G09900,,AT2G21530,AT2G01300,,AT4G25490,,,AT4G22212,AT1G33760,,AT4G17490,AT2G30750,AT5G50760,AT1G74590,
AT4G12290,,AT2G22630,AT2G03520,,AT4G29780,,,AT4G22810,AT1G33960,,AT4G23205,AT2G30770,AT5G51870,AT1G74770,
AT4G13410,,AT2G22990,AT2G04070,,AT4G30430,,,AT4G25707,AT1G35230,,AT4G24570,AT2G32487,AT5G52260,AT1G78780,
AT4G13500,,AT2G23010,AT2G04460,,AT4G34400,,,AT4G26260,AT1G36620,,AT4G24580,AT2G32860,AT5G52320,AT1G79450,
AT4G14400,,AT2G26580,AT2G05995,,AT4G36490,,,AT4G29550,AT1G36622,,AT4G25470,AT2G36970,AT5G52790,AT1G79680,
AT4G16880,,AT2G28270,AT2G06002,,AT4G39403,,,AT4G34510,AT1G42980,,AT4G25810,AT2G37770,AT5G53190,AT2G03360,
AT4G17245,,AT2G29010,AT2G09994,,AT5G03620,,,AT4G34800,AT1G43590,,AT4G25820,AT2G37870,AT5G59260,AT2G04100,
AT4G19380,,AT2G29290,AT2G11320,,AT5G04340,,,AT4G36450,AT1G44130,,AT4G27652,AT2G37900,AT5G60060,AT2G05510,
AT4G23200,,AT2G29300,AT2G12370,,AT5G08000,,,AT5G04370,AT1G47395,,AT4G27654,AT2G38920,AT5G60910,AT2G13810,
AT4G23300,,AT2G29360,AT2G12380,,AT5G10420,,,AT5G04960,AT1G47400,,AT4G29780,AT2G39400,,AT2G14247,
AT4G24120,,AT2G30424,AT2G12385,,AT5G15660,,,AT5G06640,AT1G47890,,AT4G30280,AT2G39510,,AT2G15490,
AT4G27300,,AT2G31083,AT2G12390,,AT5G22250,,,AT5G07450,AT1G50750,,AT4G38400,AT2G39980,,AT2G17050,
AT4G28780,,AT2G32540,AT2G15220,,AT5G27420,,,AT5G07700,AT1G51790,,AT5G01100,AT2G40750,,AT2G17740,
AT4G37980,,AT2G32690,AT2G16450,,AT5G35110,,,AT5G10720,AT1G51800,,AT5G04340,AT2G41810,,AT2G18660,
AT4G38840,,AT2G32870,AT2G17740,,AT5G40605,,,AT5G11330,AT1G51860,,AT5G05380,AT2G43510,,AT2G19190,
AT4G38860,,AT2G32880,AT2G19060,,AT5G41740,,,AT5G11410,AT1G51890,,AT5G05440,AT2G43570,,AT2G24165,
AT5G09660,,AT2G33880,AT2G20150,,AT5G41750,,,AT5G14180,AT1G51913,,AT5G07110,AT2G43620,,AT2G25440,
AT5G15780,,AT2G34430,AT2G20460,,AT5G45520,,,AT5G16410,AT1G51920,,AT5G10700,AT2G43890,,AT2G25940,
AT5G19890,,AT2G36110,AT2G20993,,AT5G52750,,,AT5G19520,AT1G51960,,AT5G13200,AT2G44460,,AT2G26290,
AT5G20630,,AT2G36630,AT2G21110,,AT5G54190,,,AT5G19600,AT1G52790,,AT5G14230,AT2G45550,,AT2G27660,
AT5G24160,,AT2G39250,AT2G23808,,AT5G55056,,,AT5G20240,AT1G53170,,AT5G14690,AT2G46495,,AT2G28960,
AT5G25040,,AT2G41090,AT2G24720,,AT5G58080,,,AT5G23830,AT1G54120,,AT5G14740,AT2G48090,,AT2G29100,
AT5G25980,,AT2G43010,AT2G25460,,AT5G58310,,,AT5G24100,AT1G55430,,AT5G14750,AT3G03670,,AT2G29250,
AT5G26000,,AT2G44590,AT2G25482,,AT5G58680,,,AT5G24280,AT1G55440,,AT5G17040,AT3G05400,,AT2G29460,
AT5G33370,,AT2G44920,AT2G25625,,AT5G61180,,,AT5G24780,AT1G55790,,AT5G17350,AT3G05950,,AT2G29490,
AT5G38410,,AT3G01345,AT2G26560,,AT5G63130,,,AT5G28335,AT1G56150,,AT5G20740,AT3G08860,,AT2G30660,
AT5G39030,,AT3G01550,AT2G26610,,AT5G64870,,,AT5G35190,AT1G56600,,AT5G22250,AT3G09922,,AT2G30750,
AT5G39210,,AT3G04290,AT2G27270,,,,,AT5G38200,AT1G56660,,AT5G26920,AT3G14620,,AT2G31020,
AT5G42530,,AT3G05730,AT2G28210,,,,,AT5G39240,AT1G57630,,AT5G27420,AT3G15500,,AT2G32160,
AT5G43450,,AT3G06880,AT2G28710,,,,,AT5G42600,AT1G58225,,AT5G43620,AT3G18250,,AT2G32660,
AT5G45820,,AT3G13950,AT2G29220,,,,,AT5G42710,AT1G58320,,AT5G44210,AT3G20360,,AT2G32680,
AT5G46730,,AT3G14420,AT2G29250,,,,,AT5G42900,AT1G58390,,AT5G44350,AT3G21080,,AT2G34500,
AT5G48175,,AT3G16130,AT2G30660,,,,,AT5G45730,AT1G58420,,AT5G45340,AT3G21352,,AT2G34940,
AT5G49730,,AT3G16250,AT2G30670,,,,,AT5G46730,AT1G58430,,AT5G47550,AT3G21720,,AT2G35980,
AT5G50160,,AT3G16530,AT2G30750,,,,,AT5G46900,AT1G59590,,AT5G47960,AT3G23120,,AT2G37980,
AT5G50790,,AT3G16660,AT2G37770,,,,,AT5G47330,AT1G59850,,AT5G52570,AT3G25730,,AT2G38940,
AT5G54250,,AT3G17050,AT2G38255,,,,,AT5G47450,AT1G59860,,AT5G54490,AT3G26200,,AT2G39200,
AT5G54630,,AT3G19850,AT2G38870,,,,,AT5G47980,AT1G60190,,AT5G59550,AT3G26220,,AT2G39530,
AT5G55620,,AT3G21310,AT2G39510,,,,,AT5G48070,AT1G61050,,AT5G59820,AT3G27950,,AT2G40750,
AT5G59130,,AT3G22740,AT2G41810,,,,,AT5G51780,AT1G61080,,AT5G62865,AT3G28510,,AT2G41240,
AT5G61160,,AT3G23450,AT2G41997,,,,,AT5G61430,AT1G61340,,AT5G63130,AT3G30725,,AT2G42060,
AT5G61270,,AT3G24140,AT2G43570,,,,,AT5G62165,AT1G61480,,AT5G66080,AT3G47380,,AT2G43570,
AT5G61520,,AT3G26280,AT2G43620,,,,,AT5G66390,AT1G61820,,AT5G67310,AT3G47480,,AT2G44370,
AT5G64770,,AT3G28070,AT2G43890,,,,,AT5G66562,AT1G61930,,ATMG01020,AT3G47510,,AT2G44380,
,,AT3G28220,AT2G44070,,,,,,AT1G63245,,,AT3G48640,,AT2G44460,
,,AT3G29078,AT2G44290,,,,,,AT1G63580,,,AT3G49570,,AT2G44480,
,,AT3G29767,AT2G44370,,,,,,AT1G63870,,,AT3G49580,,AT2G44790,
,,AT3G29780,AT2G44460,,,,,,AT1G64065,,,AT3G51895,,AT2G45130,
,,AT3G30720,AT2G44578,,,,,,AT1G64170,,,AT3G53150,,AT2G45220,
,,AT3G32010,AT2G44840,,,,,,AT1G64660,,,AT3G54070,,AT2G45760,
,,AT3G32377,AT2G45550,,,,,,AT1G65481,,,AT3G56400,,AT2G47000,
,,AT3G42820,AT2G47050,,,,,,AT1G65510,,,AT3G60140,,AT2G47010,
,,AT3G44705,AT2G47190,,,,,,AT1G65610,,,AT3G60270,,AT2G47130,
,,AT3G45140,AT2G47950,,,,,,AT1G65690,,,AT3G60420,,AT3G01420,
,,AT3G46270,AT3G03240,,,,,,AT1G65790,,,AT3G60470,,AT3G01990,
,,AT3G46780,AT3G03280,,,,,,AT1G65870,,,AT4G00390,,AT3G02240,
,,AT3G46800,AT3G03670,,,,,,AT1G66090,,,AT4G01060,,AT3G03530,
